date,weather,avg_temp,avg_wind,avg_humidity,pressure,precipitation,rain
2022-09-01,"Днем 1 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, пасмурно или облачность более 5 баллов, ливневые осадки, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10…+13°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 55—83%.",11.5,1.0,69.0,ниже нормы,Были осадки,Не было дождя
2022-09-02,"Днем 2 сентября 2022 года в Москве характер погоды был таким:             значительная облачность, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +8…+11°C.

            Ветер западный слабый, 0—2 м/с.
            Влажность воздуха 67—80%.",9.5,1.0,73.5,в пределах нормы,Были осадки,Был дождь
2022-09-03,"Днем 3 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +10…+15°C.

            Ветер западный слабый, 0—2 м/с.
            Влажность воздуха 49—77%.",12.5,1.0,63.0,в пределах нормы,Без осадков,Не было дождя
2022-09-04,"Днем 4 сентября 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +9…+14°C.

            Ветер северо-западный слабый, 0—2 м/с.
            Влажность воздуха 43—73%.",11.5,1.0,58.0,в пределах нормы,Без осадков,Не было дождя
2022-09-05,"Днем 5 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +9…+11°C.

            Ветер северо-западный слабый, 1—2 м/с.
            Влажность воздуха 63—86%.",10.0,1.5,74.5,в пределах нормы,Были осадки,Не было дождя
2022-09-06,"Днем 6 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +8…+11°C.

            Ветер северо-западный слабый, 1—3 м/с.
            Влажность воздуха 65—79%.",9.5,2.0,72.0,в пределах нормы,Были осадки,Был дождь
2022-09-07,"Днем 7 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +8…+12°C.

            Ветер западный слабый, 0—1 м/с.
            Влажность воздуха 59—94%.",10.0,0.5,76.5,ниже нормы,Были осадки,Был дождь
2022-09-08,"Днем 8 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность с просветами, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +7…+10°C.

            Ветер северный слабый, 2—4 м/с.
            Влажность воздуха 70—78%.",8.5,3.0,74.0,в пределах нормы,Были осадки,Был дождь
2022-09-09,"Днем 9 сентября 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +6…+12°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 47—82%.",9.0,1.0,64.5,в пределах нормы,Без осадков,Не было дождя
2022-09-10,"Днем 10 сентября 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +7…+15°C.

            Ветер северо-западный слабый, 0—1 м/с.
            Влажность воздуха 39—81%.",11.0,0.5,60.0,в пределах нормы,Без осадков,Не было дождя
