ds,yhat,TID
2022-12-01,83664.80010868082,406136
2022-12-02,92216.22191404316,406136
2022-12-03,102240.83725641694,406136
2022-12-04,110634.29934777481,406136
2022-12-05,79618.20317461524,406136
2022-12-06,81831.4318581403,406136
2022-12-07,79207.349882175,406136
2022-12-08,82807.34736903294,406136
2022-12-09,91358.76917436434,406136
2022-12-10,101383.38451678093,406136
2022-12-11,109776.84660811615,406136
2022-12-12,78760.75043495803,406136
2022-12-13,80973.97911849772,406136
2022-12-14,78349.89714251114,406136
2022-12-15,81949.89462934269,406136
2022-12-16,90501.31643474517,406136
2022-12-17,100525.93177717263,406136
2022-12-18,108919.3938684808,406136
2022-12-19,77903.29769531422,406136
2022-12-20,80116.52637884673,406136
2022-12-21,77492.44440288332,406136
2022-12-22,81092.44188973602,406136
2022-12-23,89643.86369508774,406136
2022-12-24,99668.47903753664,406136
2022-12-25,108061.94112882213,406136
2022-12-26,77045.84495565701,406136
2022-12-27,79259.07363920414,406136
2022-12-28,76634.99166321947,406136
2022-12-29,80234.98915008813,406136
2022-12-30,88786.41095550681,406136
2022-12-01,151093.55450710378,406139
2022-12-02,186059.20432693587,406139
2022-12-03,185473.9023387047,406139
2022-12-04,162008.03672202697,406139
2022-12-05,155973.90278326356,406139
2022-12-06,129815.65268758999,406139
2022-12-07,203048.57405892253,406139
2022-12-08,150571.60659853814,406139
2022-12-09,185537.2564182722,406139
2022-12-10,184951.9544301709,406139
2022-12-11,161486.08881355348,406139
2022-12-12,155451.95487457738,406139
2022-12-13,129293.70477902205,406139
2022-12-14,202526.62615036475,406139
2022-12-15,150049.65869011628,406139
2022-12-16,185015.3085096714,406139
2022-12-17,184430.0065214585,406139
2022-12-18,160964.14090473863,406139
2022-12-19,154930.00696614914,406139
2022-12-20,128771.75687032187,406139
2022-12-21,202004.67824178922,406139
2022-12-22,149527.71078145696,406139
2022-12-23,184493.36060122156,406139
2022-12-24,183908.0586129247,406139
2022-12-25,160442.19299626516,406139
2022-12-26,154408.059057463,406139
2022-12-27,128249.80896175398,406139
2022-12-28,201482.73033323148,406139
2022-12-29,149005.7628728913,406139
2022-12-30,183971.41269246963,406139
2022-12-01,158157.8508610199,406145
2022-12-02,125367.38268921987,406145
2022-12-03,131357.699090054,406145
2022-12-04,133353.03879088862,406145
2022-12-05,109274.0055874715,406145
2022-12-06,185249.6340425284,406145
2022-12-07,147304.11250541575,406145
2022-12-08,158610.70404086067,406145
2022-12-09,125820.23586913093,406145
2022-12-10,131810.55226989632,406145
2022-12-11,133805.89197065757,406145
2022-12-12,109726.85876744404,406145
2022-12-13,185702.48722243865,406145
2022-12-14,147756.9656852453,406145
2022-12-15,159063.5572206804,406145
2022-12-16,126273.08904905315,406145
2022-12-17,132263.40544990267,406145
2022-12-18,134258.74515070597,406145
2022-12-19,110179.71194724097,406145
2022-12-20,186155.34040223152,406145
2022-12-21,148209.81886512937,406145
2022-12-22,159516.41040063792,406145
2022-12-23,126725.94222881956,406145
2022-12-24,132716.258629745,406145
2022-12-25,134711.59833047492,406145
2022-12-26,110632.5651272135,406145
2022-12-27,186608.19358214174,406145
2022-12-28,148662.67204495892,406145
2022-12-29,159969.2635804787,406145
2022-12-30,127178.79540889755,406145
2022-12-01,58880.0783299585,406148
2022-12-02,65749.08853017408,406148
2022-12-03,77498.67229505093,406148
2022-12-04,56686.804904014396,406148
2022-12-05,50883.385042690155,406148
2022-12-06,77789.78660841174,406148
2022-12-07,66350.5921621559,406148
2022-12-08,59162.36811754198,406148
2022-12-09,66031.37831769872,406148
2022-12-10,77780.96208262476,406148
2022-12-11,56969.09469156474,406148
2022-12-12,51165.67483030798,406148
2022-12-13,78072.07639601291,406148
2022-12-14,66632.88194973051,406148
2022-12-15,59444.6579051217,406148
2022-12-16,66313.66810530647,406148
2022-12-17,78063.25187022689,406148
2022-12-18,57251.38447917254,406148
2022-12-19,51447.964617878795,406148
2022-12-20,78354.3661835564,406148
2022-12-21,66915.17173730409,406148
2022-12-22,59726.94769271692,406148
2022-12-23,66595.957892892,406148
2022-12-24,78345.54165780073,406148
2022-12-25,57533.6742667229,406148
2022-12-26,51730.254405496606,406148
2022-12-27,78636.65597115757,406148
2022-12-28,67197.46152487869,406148
2022-12-29,60009.2374803004,406148
2022-12-30,66878.24768052196,406148
2022-12-01,89667.83817988787,406180
2022-12-02,87007.47473590873,406180
2022-12-03,70686.40324233234,406180
2022-12-04,68357.80939760641,406180
2022-12-05,70622.72152214203,406180
2022-12-06,72476.39255148321,406180
2022-12-07,67342.18979713034,406180
2022-12-08,90812.29756905063,406180
2022-12-09,88151.93412511266,406180
2022-12-10,71830.8626314707,406180
2022-12-11,69502.26878674867,406180
2022-12-12,71767.18091131088,406180
2022-12-13,73620.85194063498,406180
2022-12-14,68486.64918629019,406180
2022-12-15,91956.75695813658,406180
2022-12-16,89296.3935142639,406180
2022-12-17,72975.32202063469,406180
2022-12-18,70646.72817593675,406180
2022-12-19,72911.64030044845,406180
2022-12-20,74765.3113298139,406180
2022-12-21,69631.1085754562,406180
2022-12-22,93101.21634731567,406180
2022-12-23,90440.85290339185,406180
2022-12-24,74119.78140977303,406180
